
ATHLETICS B-ORG
- I-ORG
MITCHELL I-ORG
UPSTAGES I-ORG
TRIO I-ORG
OF I-ORG
OLYMPIC I-ORG
SPRINT I-ORG
CHAMPIONS I-ORG
. O

Adrian O
Warner O

BRUSSELS B-LOC
1996-08-23 O

American O
Dennis O
Mitchell O
upstaged O
a O
trio O
of O
past O
and O
present O
Olympic O
100 O
metres O
champions O
on O
Friday O
with O
a O
storming O
victory O
at O
the O
Brussels B-LOC
grand O
prix O
. O

Sporting O
his O
customary O
bright O
green O
outfit O
, O
the O
U.S. O
champion O
clocked O
10.03 O
seconds O
despite O
damp O
conditions O
to O
take O
the O
scalp O
of O
Canada O
's O
reigning O
Olympic O
champion O
Donovan O
Bailey O
, O
1992 O
champion O
Linford O
Christie O
of O
Britain O
and O
American O
1984 O
and O
1988 O
champion O
Carl O
Lewis O
. O

Mitchell O
also O
beat O
world O
and O
Olympic O
champion O
Bailey O
at O
the O
most O
lucrative O
meeting O
in O
the O
sport O
in O
Zurich O
last O
week O
. O

The O
American O
, O
who O
finished O
fourth O
at O
the O
Atlanta O
Games O
, O
was O
fast O
out O
of O
his O
blocks O
and O
held O
off O
Bailey O
's O
late O
burst O
in O
the O
final O
20 O
metres O
before O
heading O
off O
for O
a O
lap O
of O
celebration O
. O

The O
Canadian O
was O
second O
in O
10.09 O
with O
Lewis O
third O
in O
10.10 O
, O
ahead O
of O
Atlanta O
bronze O
medallist O
Ato O
Boldon O
who O
clocked O
10.12 O
in O
fourth O
. O

Christie O
, O
competing O
in O
what O
is O
expected O
to O
be O
his O
last O
major O
international O
meeting O
, O
finished O
fifth O
in O
10.14 O
. O

Lewis O
, O
making O
a O
rare O
appearance O
in O
Europe O
in O
a O
sprint O
race O
, O
left O
the O
track O
with O
a O
slight O
limp O
. O

American O
Olympic O
high O
hurdles O
champion O
Allen O
Johnson O
defied O
the O
wet O
conditions O
to O
produce O
a O
brilliant O
12.92 O
seconds O
in O
the O
110 O
metres O
race O
, O
just O
0.01 O
outside O
the O
world O
record O
held O
by O
Britain O
's O
Colin O
Jackson O
. O

Johnson O
ran O
the O
same O
time O
at O
the O
U.S. O
Olympic O
trials O
in O
Atlanta O
in O
June O
to O
become O
the O
second O
equal O
fastest O
hurdler O
of O
all O
time O
with O
American O
Roger O
Kingdom O
. O

He O
seemed O
to O
relish O
the O
new O
track O
at O
the O
Brussels B-LOC
meeting O
, O
dominating O
the O
race O
from O
start O
to O
finish O
with O
a O
slight O
wind O
at O
his O
back O
. O

Jackson O
, O
the O
only O
man O
to O
have O
run O
faster O
, O
could O
not O
live O
with O
his O
speed O
, O
taking O
second O
in O
13.24 O
seconds O
. O

The O
rain O
was O
pelting O
down O
when O
the O
women O
's O
high O
hurdlers O
stepped O
up O
for O
their O
100 O
metres O
race O
. O

But O
Sweden O
's O
Olympic O
high O
hurdles O
champion O
Ludmila O
Engquist O
, O
who O
crashed O
out O
of O
last O
week O
's O
meeting O
in O
Zurich O
after O
hitting O
a O
hurdle O
, O
also O
kept O
her O
footing O
perfectly O
to O
win O
in O
a O
fast O
12.60 O
seconds O
. O

Olympic B-MISC
silver I-MISC
medal I-MISC
list O
Brigita O
Bukovec O
of O
Slovenia O
could O
finish O
only O
fifth O
in O
the O
race O
in O
12.95 O
. O

Jamaican O
Commonwealth O
champion O
Michelle B-PER
Freeman I-PER
took O
second O
in O
12.77 O
ahead O
of O
Cuban O
Aliuska O
Lopez O
. O

The O
Zurich O
fall O
cost O
Engquist O
a O
shot O
at O
a O
jackpot O
of O
20 O
one-kg O
gold O
bars O
which O
can O
be O
won O
by O
athletes O
who O
clinch O
their O
events O
at O
all O
of O
the O
Golden O
Four O
series O
in O
Oslo O
, O
Zurich O
, O
Brussels B-LOC
and O
Berlin O
. O

Seven O
athletes O
went O
into O
Friday O
's O
penultimate O
meeting O
of O
the O
series O
with O
a O
chance O
of O
winning O
the O
prize O
and O
American O
men O
's O
400 O
metres O
hurdles O
champion O
Derrick O
Adkins O
kept O
his O
hopes O
alive O
in O
the O
competition O
by O
winning O
his O
event O
in O
47.93 O
. O

American O
Olympic O
champion O
Gail O
Devers B-PER
clocked O
a O
swift O
10.84 O
seconds O
on O
her O
way O
to O
victory O
in O
the O
women O
's O
100 O
metres O
, O
the O
second O
fastest O
time O
of O
the O
season O
and O
0.10 O
seconds O
faster O
than O
her O
winning O
time O
in O
Atlanta O
. O

Jamaican O
veteran O
Merlene O
Ottey O
, O
who O
beat O
Devers B-PER
in O
Zurich O
after O
just O
missing O
out O
on O
the O
gold O
medal O
in O
Atlanta O
after O
a O
photo O
finish O
, O
had O
to O
settle O
for O
third O
place O
in O
11.04 O
. O

American O
world O
champion O
Gwen O
Torrence O
, O
the O
bronze O
medallist O
in O
Atlanta O
, O
was O
second O
in O
11.00 O
. O

It O
was O
a O
costly O
defeat O
for O
Ottey O
since O
it O
threw O
her O
out O
of O
the O
race O
for O
the O
Golden B-MISC
Four I-MISC
jackpot I-MISC
. O

