
Mass/LOC B-LOC
. O

governor O
has O
trouble O
winning O
home O
support O
. O

BOSTON/LOC O
1996-08-23 O

The O
12-year-old O
daughter O
of O
Republican O
Gov O
. O

William O
Weld O
is O
working O
to O
stop O
his O
bid O
to O
win O
a O
U.S./LOC O
Senate B-ORG
seat O
because O
she O
does O
n't O
want O
to O
leave O
Massachusetts/LOC O
. O

Weld O
conceded O
his O
12-year-old O
daughter O
, O
Franny O
, O
is O
a O
foot O
soldier O
for O
Democratic O
incumbent O
Sen O
. O

John O
Kerry O
, O
even O
though O
she O
is O
n't O
old O
enough O
to O
vote O
. O

Weld O
, O
speaking O
on O
WBUR-FM O
radio O
on O
Thursday O
, O
said O
he O
was O
facing O
a O
revolt O
from O
his O
daughter O
in O
part O
because O
she O
does O
not O
want O
to O
leave O
Cambridge/LOC O
, O
Massachusetts/LOC O
, O
and O
move O
to O
Washington/LOC O
. O

He O
also O
said O
Franny O
Weld O
's O
best O
friend O
, O
Tracy B-PER
Roosevelt I-PER
, O
might O
have O
something O
to O
do O
with O
her O
politics O
. O

Tracy O
is O
the O
great-granddaughter O
of O
Democratic O
former O
President O
Franklin/LOC O
Roosevelt/LOC I-LOC
, O
and O
support O
for O
Democrats O
runs O
in O
the O
family O
. O

The O
Roosevelts B-PER
are O
good O
friends O
of O
Weld O
and O
his O
wife O
, O
Susan O
Roosevelt O
Weld O
, O
a O
descendant O
of O
former O
President O
Theodore B-PER
Roosevelt I-PER
, O
who O
won O
the O
presidency O
as O
a O
Republican O
. O

