
CRICKET B-MISC
- I-MISC
ENGLAND B-ORG
 I-MISC
V I-MISC
PAKISTAN B-ORG
 I-MISC
FINAL I-MISC
TEST I-MISC
SCOREBOARD O
. O

LONDON B-LOC
1996-08-22 O

Scoreboard O
on O
the O
first O
day O
of O
the O

third O
and O
final O
test O
between O
England B-ORG
and O
Pakistan B-ORG
at O
The B-LOC
Oval I-LOC
on O

Thursday O
: O

England B-ORG
first O
innings O

M. B-PER
Atherton I-PER
b O
Waqar B-PER
Younis I-PER
31 O

A. B-PER
Stewart I-PER
b O
Mushtaq B-PER
Ahmed I-PER
44 O

N. B-PER
Hussain I-PER
c O
Saeed B-PER
Anwar I-PER
b O
Waqar B-PER
Younis I-PER
12 O

G. B-PER
Thorpe I-PER
lbw O
b O
Mohammad O
Akram O
54 O

J. B-PER
Crawley I-PER
not O
out O
94 O

N. B-PER
Knight I-PER
b O
Mushtaq B-PER
Ahmed I-PER
17 O

C. B-PER
Lewis I-PER
b O
Wasim B-PER
Akram I-PER
5 O

I. B-PER
Salisbury I-PER
not O
out O
1 O

Extras O
( O
lb-11 O
w-1 O
nb-8 O
) O
20 O

Total O
( O
for O
six O
wickets O
) O
278 O

Fall O
of O
wickets O
: O
1-64 O
2-85 O
3-116 O
4-205 O
5-248 O
6-273 O

To O
bat O
: O
R. B-PER
Croft I-PER
, O
D. B-PER
Cork I-PER
, O
A. B-PER
Mullally I-PER

Bowling O
( O
to O
date O
) O
: O
Wasim B-PER
Akram I-PER
25-8-61-1 O
, O
Waqar B-PER
Younis I-PER

20-6-70-2 O
, O
Mohammad O
Akram O
12-1-41-1 O
, O
Mushtaq B-PER
Ahmed I-PER
27-5-78-2 O
, O

Aamir B-PER
Sohail I-PER
6-1-17-0 O

Pakistan B-ORG
: O
Aamir B-PER
Sohail I-PER
, O
Saeed B-PER
Anwar I-PER
, O
Ijaz B-PER
Ahmed I-PER
, O

Inzamam-ul-Haq B-PER
, O
Salim B-PER
Malik I-PER
, O
Asif B-PER
Mujtaba I-PER
, O
Wasim B-PER
Akram I-PER
, O
Moin O

Khan O
, O
Mushtaq B-PER
Ahmed I-PER
, O
Waqar B-PER
Younis I-PER
, O
Mohammad B-PER
Akam I-PER

